"Title","Authors","Publish Date (Year)"
"On Hogback Mountain","By Magarrell, Elaine","1985"
"John Henry: An American Legend (Knopf Children's Paperbacks)","By Keats, Ezra Jack","1987"
"Monarchs-in-waiting","By Curley, Walter J. P","1973"
"Eyes on an Era: Four Decades of Photojournalism by Irving Haberman","By Cronkite, Walter, Haberman, Irving, Haberman, Irving (PHT), and Barth, Miles","1995"
"Maryland: Old Line to New Prosperity","By Arnold, Joseph L. and Basu, Anirban","2003"
"Z for Zachariah","By O'Brien, Robert C.","1987"
"The Cluetrain Manifesto: The End of Business as Usual","By Searls, Doc, Weinberger, David, Locke, Christopher, and Levine, Rick","2001"
"Eyewitness Top 10 Travel Guides: Rome (Eyewitness Travel Top 10)","By Bramblett, Reid and Kennedy, Jeffrey","2002"
"House Beautiful Details (Great Style Series)","By Gropp, Louis Oliver (EDT), Kennedy, Margaret (EDT), and Clark, Sally","1899"
"The Fountain Inn Diary","By ANDREWS, Matthew Page","1948"
"Gold of Ophir: or, The Lure that Made America","By Sydney Greenbie","1925"
"The Wide Window (A Series of Unfortunate Events)","By Snicket, Lemony and Helquist, Brett (ILT)","2000"
"Fast Fusible Quilts: Cross-Stitch Quilts Made Easy (That Patchwork Place)","By Martin, Terry","2001"
"Teach Them All to Read: Theory, Methods, and Materials for Teaching the Disadvantaged","By Cohen, S. Alan","1969"
"Hoot","By Hiaasen, Carl","2004"
"Ultimate Voyage","By Gilkerson, William","1999"
"Adventure Guide to Belize (Adventure Guide to Belize)","By Lougheed, Vivien","2003"
"Eat Up","By Karmel, Annabel","1999"
"Legacy of the land: 250 years of agriculture in Carroll County, Maryland","By Lee, Carol","1982"
"Grill Pan Cookbook: Great Recipes for Stovetop Grilling","By Ruth, Jamee","1999"
"Mozart (Postcardbooks)","By Jansen, Johannes","1999"
"The English Year: A Personal Selection from Chamber's Book of Days","By Strong, Roy and Oman, Julia Trevelyan","1982"
"Sales Scripts That Sell: ...On the Road...On the Phone","By Gamble, Teri and Gamble, Michael","1992"
"Hemingway: A Life Without Consequences","By Mellow, James R.","1993"
"Betty Groff's Country goodness cookbook","By Groff, Betty","1981"
"Rape of Honor","By willi heinrich","1962"
"The Potted Herb","By Zabar, Abbie","1988"
"Sewing for the home (Singer sewing reference library)","By Devens, Gail","1984"
"Crisscross","By Valentine, Paul W.","1999"
"Merriam-Webster's Dictionary of American Writers","By Merriam-Webster","2001"
"Breaking Her Fall","By Goodwin, Stephen","2003"
"Five Men Who Broke My Heart: A Memoir","By Shapiro, Susan","2004"
"Cats: An Owner's Guide","By Atkins, Carla, Fresak, Nikki (PHT), and Robinson, Alan (PHT)","2003"
"Gotta Run","By Campbell, Dennis","2001"
"Pets at the White House;","By Carl Carmer","1959"
"Goldilocks and the Three Bears (Golden Storytime Book)","By Muntean, Michaela, Obligado, Lilian (ILT), and Obligado, Lilian (EDT)","1987"
"Tooth Fairy - Pbk (Giant First Step Reader)","By Peters, Sharon and Sims, Deborah (ILT)","1997"
"The New York Public Library Literature Companion","By New York Public Library (COR) and Skillion, Anne (EDT)","2001"
"Damon","By Quinn, Robert","2000"
"Every Gardener Knows That All Things Grow With Love","By Montgomery, Kimberly","2001"
"The Rise and Fall of Ben Gizzard","By Kennedy, Richard and Sewall, Marcia","1978"
"Let There Be Lite: An Illuminating Guide to Delicious Low-fat Cooking","By Disney, Jay","1996"
"Stepping Up to Power: The Political Journey of American Women","By Woods, Harriett","2001"
"A Cook's Journal: A Notebook for Your Favorite Recipes","By Jones, Deborah (PHT)","1995"
"The Lynne Truss Treasury: Columns and Three Comic Novels","By Truss, Lynne","2005"
"Voices for the Earth","By Gilliam, Ann","1982"
"US NAVY: An Illustrated History","By Miller, Nathan","1987"
"Maryland in Focus","By Evans, Middleton","1988"
"Erik H. Erikson: The Power and Limits of a Vision","By Roazen, Paul","1976"
"Anthem","By Rand, Ayn","1996"
"Chronicles of the Cursed Sword, Vol. 7","By Beop-Ryong, Yeo and Hui-Jin, Park (ILT)","2004"
"Boys Be: Second Season, Vol. 1","By Itabashi, Masahiro and Tamakoshi, Hiroyuki (ILT)","2004"
"Landscaping (Southern Living Garden Guide Series)","By Slack, William","1998"
"Capital City: New York City and the Men Behind America's Rise to Economic Dominance, 1860-1900","By Kessner, Thomas","2003"
"Prophetic Poems: God Speaks to His People","By Thibault, Arlene Mary","2002"
"A Guide to America's Indians","By Marquis, Arnold","1974"
"Murderers' Row","By Penzler, Otto","2003"
"Transylvania Red","By Quint, Bert","2002"
"The Motley Fool Investment Workbook","By Gardner, David, Gardner, Tom, and Motley Fool, Inc. (COR)","1998"
"Zen: Images, Texts, and Teachings","By Levering, Miriam (EDT), Stryk, Lucien (FRW), and Levering, Miriam (INT)","2000"
"American Places","By Stegner, Wallace Earle, Porter, Eliot, Stegner, Page, and Macrae, John","1993"
"Handbook of applied mathematics;: Selected results and methods","By Pearson, Carl E","1974"
"Journey into China","By National Geographic Society (U. S.)","1982"
"Encyclopedia of Toys","By Rh Value Publishing","1988"
"Liling-Po Volume 1 (Liling-po (Graphic Novel))","By Yutenji, Ako and Ashamalla, Michele","2005"
".hack//Legend of the Twilight, Vol. 2","By Hamazaki, Tatsuya (CRT) and Idumi, Rei (ILT)","2003"
"Rebirth, Vol. 1","By Na, Lauren, Woo, Lee, Kang-Woo, and Jaffe, Taliesin","2003"
"Crazy Love Story, Vol. 2","By Vin, Lee (CRT)","2005"
"Faeries' Landing, Vol.1","By Hyun, You, Park, Woo Sok, and Yu, Hyon","2004"
"Diabolo, Vol. 1","By Kusunoki, Kei and Ohashi, Kaoru","2004"
"Lagoon Engine, Vol. 1","By Sugisaki, Yukiru","2005"
"Alichino Volume 1 (Alichino (Prebound))","By Morrissey, Paul and Shurei, Kouyu","2005"
"Ten Things I Learned from Bill Porter: The Inspiring True Story of the Door-to-Door Salesman Who Changed Lives","By Brady, Shelly and Macy, William H. (FRW)","2004"
"The Army Times Book of Great Land Battles","By Morelock, J. D. and Boyne, Walter J. (EDT)","1994"
"Dirty: A Search for Answers Inside America's Teenage Drug Epidemic","By Meredith Maran","2003"
"Why Not Us?: The 86-year Journey of the Boston Red Sox Fans From Unparalleled Suffering to the Promised Land of the 2004 World Series","By Montville, Leigh","2005"
"GLORY OF NEW TESTAMENT","By Gafni, Shlomo (EDT)","1984"
"Eternity, Vol. 2","By Jin-Ryong, Park and Yong-Gwan, Shin (ART)","2004"
"Neck and Neck Volume 1","By Sun-Hee, Lee and Schultz, Sunah Kim (TRN)","2004"
"Threads of Time, Vol. 1","By Noh, Mi Young, Marraffino, Frank, and Reyes, Luis","2004"
"Gravitation, Book 5","By Yoshimoto, Ray (TRN), Rich, Jamie S. (ADP), and Murakami, Maki","2004"
"The International Soup Book","By Friedland, Susan R.","1998"
"Give Me a Break: How I Exposed Hucksters, Cheats, and Scam Artists and Became the Scourge of the Liberal Media...","By Stossel, John","2004"
"The Big Book of Gardening Skills","By Garden Way","1993"
"The Light Ages","By MacLeod, Ian R.","2003"
"Frank Sinatra: An American Legend","By Sinatra, Nancy","1995"
"Healthy Fats for Life: Preventing and Treating Common Health Problems with Essential Fatty Acids","By Vanderhaeghe, Lorna R. and Karst, Karlene","2004"
"Maryland: A Portrait","By Miller, Roger","1986"
"Now and Then: A Memoir from Coney Island to Here","By Heller, Joseph","1999"
"D-Day: The Greatest Invasion - A People's History","By Van Der Vat, Dan and Eisenhower, John S. D. (INT)","2003"
"Sports Illustrated: Fifty Years of Great Writing","By Fleder, Rob (EDT)","2003"
"The Secret Language of Girlfriends: Talking Loudly, Laughing Wildly, and Making the Most of Our Most Important Friendships","By Neuburger, Karen and Schiff, Nadine","2005"
"Earthquake at Dawn Rev Pa (Great Episodes)","By Gregory, Kristiana and Campbell, Mary Exa Atkins","2003"
"Pure Drivel","By Martin, Steve","1999"
"I Got a D in Salami #2 (Hank Zipzer)","By Winkler, Henry, Oliver, Lin, and Heyer, Carol (ILT)","2004"
"Merry Christmas Davy","By Weninger, Brigitte, Tharlet, Eve (ILT), and Lanning, Rosemary","1998"
"Rotisserie Chickens to the Rescue!: How to Use the Already-Roasted Chickens You Purchase at the Market to Make More Than 125 Simple and Delicious Meals","By Williams, Carla Fitzgerald","2003"
"Get Hired!: Winning Strategies to Ace the Interview","By Green, Paul C., Ph.D.","1996"
"WP215 - Bastien Piano Basics - Technic Primer Level","By James Bastien","1986"
"The Pen and the Sword (Milestones of History, New Series, 6.)","By Hibbert, Christopher (EDT) and Newsweek, Inc. (COR)","1974"
"The Harper Encyclopedia of Military Biography","By Dupuy, Trevor N., Johnson, Curt, and Bongard, David L.","2000"
"Southern Places: A Classic Collection of Words & Images","By Morris, Philip (EDT)","1990"
"Cooking Thin with Chef Kathleen: 200 Easy Recipes for Healthy Weight Loss","By Daelemans, Kathleen","2002"
"By the Side of the Road","By Feiffer, Jules","2002"
"The President steps down: A personal memoir of the transfer of power","By Christian, George","1970"
"Ragnarok, Vol. 4: Dawn of Destruction","By Jin Lee, Myung","2002"
"Real Bout High School #1","By Saiga, Reiji, Inoue, Sora, and Duran, Lucan","2002"
"King of Hell, Book 1","By In-Soo, Ra and Jae-Hwan, Kim","2003"
"Lizzie Mcguire: Gordo and the Girl","By Stein, Erin (EDT), Gould, Melissa (EDT), Kaemon, Amy Court (EDT), Taylor, Allison (EDT), and Buscemi, Robert (EDT)","2004"
"Pita-Ten, Volume 1","By Rymer, Nan, Koge Donbo, and Arnold, Adam","2004"
"Les Bijoux, Vol. 3","By Jo, Eun-Ha, Sang-Sun, Park (ART), and Lee, Seung-Ah (TRN)","2004"
"The NutriBase Complete Book of Food Counts","By NutriBase","2001"
"Strawberry Shortcake's Berry Best Gardening Book","By Bryant, Megan E.","2004"
"How Do Dinosaurs Clean Their Rooms?: Board Book","By Yolen, Jane and Teague, Mark (ILT)","2004"
"Thirty-three Swoons: A Novel","By COOLEY, Martha","2005"
"Competing in the New Economy","By Bonnett, Thomas W.","2000"
"Managing the Dream: Reflections on Leadership and Change","By Bennis, Warren G.","2000"
"Terrors and Marvels: How Science and Technology Changed the Character and Outcome of World War II","By Shachtman, Tom","2002"
"Gropings and hopings","By Ellison, Constance","1973"
"Vogue & Butterick's Designer Sewing Techniques","By Lee, Linda and Schlich, Kit (EDT)","1994"
"Choose the Right College and Get Accepted: How to Choose the Right College and Get Into Your Dream School","By Students Helping Students, Phinney, Siobhan (EDT), Hutchin, Megan (EDT), and Suh, Albert (EDT)","2005"
"Companion Through The Darkness: Inner Dialogues on Grief","By Ericsson, Stephanie","1993"
"Mortal Allies","By Haig, Brian","2002"
"The Good Fight: Declare Your Independence and Close the Democracy Gap","By Nader, Ralph","2004"
"Va Va Voom! Purify","By Wilson, Elizabeth","2004"
"The Body Restoration Plan: Eliminate Chemical Calories and Repair Your Body's Natural Slimming System","By Baillie-Hamilton, Paula and Hamilton-Baillie, Paula","2003"
"The Diabetes Cure: A Natural Plan That Can Slow, Stop, Even Cure Type 2 Diabetes","By Perry, Paul and Cherewatenko, Vern S.","2000"
"I.N.V.U., Book 3","By Na, Lauren, Won, Kim Kang, Kim, Kan-Won, and Murphy, Bailey","2002"
"Aunt Isabel Tells a Good One (Picture Puffins)","By Duke, Kate","1994"
"4 Ingredient Cookbook quick fix simple recipies most four ingredients Favorite Brand Name","By Favorite Brand Name","2001"
"My Man Blue (Picture Puffin Books)","By Grimes, Nikki and Lagarrigue, Jerome (ILT)","2002"
"Atlantic (Rise and Shine)","By Karas, G. Brian","2004"
"Eagle Song (Puffin Chapters)","By Bruchac, Joseph and Andreasen, Dan (ILT)","1999"
"Working Out, Working Within: The Tao of Inner Fitness Through Sports and Exercise","By Lynch, Jerry, Huang, Chungliang Al, and Huang, Al Chung-Liang","1999"
"Cam Jansen: The Mystery of the Dinosaur Bones (Cam Jansen)","By Adler, David A. and Natti, Susanna (ILT)","1984"
"Chocolate Sangria: A Novel (Strivers Row)","By Price-Thompson, Tracy","2003"
"Les Bijoux (Les Bijoux), Vol. 4","By Park, Sang-Sun, Sparrow, Aaron (EDT), Jo, Eun-Ha, Sang-Sun, Park (ART), Lee, Seung-Ah (TRN), and Deitrich, Jason","2004"
"Comic Party, Vol. 1","By Inui, Sekihiko and Richie, Ross","2004"
"One Volume 2","By Vin, Lee","2004"
"Heirloom Gardens (Garden Style Book)","By Echtermeyer, Faith (PHT) and Luebbermann, Mimi","1997"
"The Willows in Winter (Tales of the Willows)","By Benson, Patrick (ILT), Grahame, Kenneth, HORWOOD, William, and Benson, Patrick","1996"
"Teach Yourself Spanish Vocabulary","By Zollo, Mike","2003"
"The Weight-Loss Diaries","By Rubin, Courtney","2004"
"Ashanti to Zulu: African Traditions (Picture Puffin Books)","By Musgrove, Margaret","1992"
"Dealing with Dragons: The Enchanted Forest Chronicles, Book One","By Wrede, Patricia C.","2002"
"Against Gravity","By Moshiri, Farnoosh","2005"
"We Are All Fine Here","By Guterson, Mary","2006"
"The One That Got Away","By Robinson, C. Kelly","2005"
"Once Upon a Campus: Tantalizing Truths about College from People Who've Already Messed Up","By Banerjee, Supurna (EDT)","2005"
"Garden Style Decorating","By Sunset (EDT) and Bix, Cynthia Overbeck","2001"
"Cyrano de Bergerac: A Heroic Comedy in Five Acts (Oxford World's Classics)","By Rostand, Edmond","1998"
"The Winter Queen: A Novel (An Erast Fandorin Mystery)","By Bromfield, Andrew (TRN) and Akunin, Boris","2004"
"Romantic Fiction","By La'Brooy, Melanie","2005"
"Scatterbrain","By Niven, Larry","2003"
"George Washington Carver: The Peanut Wizard (Smart About History)","By Weber, Jill (ILT) and Driscoll, Laura","2003"
"Jesus In Blue Jeans: A Practical Guide To Everyday Spirituality","By Jones, Laurie Beth","1998"
"Life Strategies Self-Discovery Journal: Find What Matters Most for You","By McGraw, Phillip C., Ph.D.","2001"
"The Cosmologist's Second: The Riddle of Time in Theories of the Universe (Anomalies : Alternatives to Contemporary Orthodoxies)","By Rudnicki, Konrad","1991"
"Overdrive: Bill Gates and the Race to Control Cyberspace","By Wallace, James","1998"
"Seven Years in Tibet","By Harrer, Heinrich","1997"
"Superman Five of Superman's Most Memorable Adventures!","By DC Comics","1978"
"Rose Reisman Brings Home Light Pasta","By Reisman, Rose","1995"
"Awakening (Sweep, No. 5)","By Tiernan, Cate","2001"
"The Artist's Quest for Inspiration","By Hadden, Peggy","1999"
"They Can but They Don't: Helping Students Overcome Work Inhibition","By Bruns, Jerome H.","1993"
"Open Boundaries: Creating Business Innovation Through Complexity","By Schultz, Ron and Sherman, Howard J","1999"
"The Arctic Incident (Artemis Fowl, Book 2)","By Colfer, Eoin","2003"
"Gotham Diaries","By Lee, Tonya Lewis, Anthony, Crystal McCrary, and McCrary, Crystal","2004"
"The Bubble Of American Supremacy: The Costs Of Bush's War In Iraq","By Soros, George","2004"
"Pasta Improvvisata: How to Improvise in Classic Italian Style","By De Mane, Erica and Mane, Erica De","1999"
"J. K. Rowling","By Shapiro, Marc","2004"
"Amagansett","By Mills, Mark","2005"
"Direct From Dell: Strategies That Revolutionized an Industry","By Dell, Michael and Fredman, Catherine","2000"
"A Country Affair (Barleybridge Novels)","By Shaw, Rebecca","2006"
"The Breathtaker","By Blanchard, Alice","2003"
"Photography and Your Digital World: The Ultimate Guide to Digital Technology","By Cope, Peter","2005"
"What We've Lost: How the Bush Administration Has Curtailed Our Freedoms, Mortgaged Our Economy, Ravaged Our Environment, and Damaged Our Standing in the World","By Carter, Graydon","2004"
"Secrets of Fat-Free Cooking : Over 150 Fat-Free and Low-Fat Recipes from Breakfast to Dinner-Appetizers to Desserts","By Woodruff, Sandra","1995"
"Trace Evidence: A Novel","By Becka, Elizabeth","2005"
"Who's Afraid of a Large Black Man?","By Barkley, Charles and Wilbon, Michael","2006"
"The Devil You Know: A Novel","By Bagshawe, Louise","2003"
"Sea of Glory: America's Voyage of Discovery, The U.S. Exploring Expedition, 1838-1842","By Philbrick, Nathaniel","2003"
"The Incantation of Frida K.","By Braverman, Kate","2002"
"Scrap Quilts: Fast and Fun (For the Love of Quilting)","By Patricia Wilens","1997"
"Africa: The Challenge of Transformation","By McCarthy, Stephen","1995"
"Peace Like a River: A Novel","By Enger, Leif","2002"
"High Velocity Leadership : The Mars Pathfinder Approach to Faster, Better, Cheaper","By Simon, William L. and Muirhead, Brian K.","1999"
